yıldız,yorum,etiket
5,boyut küçük olduğu için iade ettim iki üç kişilik aile için mükemmel ama kalabalık aileler için küçük,normal
1,Çok çok kötü çıktı aldığım gibi paslandı asla paranızı vermeyin çok yazık hakımızı yemeyin,normal
4,günlük kullanım için aldım beğendim sağlam ve hızlı geldi,normal
4,kokusu güzel kurutmaya attığım halde kokusu gitmiyor kalıcı bir kokusu var,normal
5,aşırı memnun kaldık küçük tencere bile içi geniş üstelik garantisi var çok beğenildi. teşekkür ederiz,normal
5,Çok kullanışlı indirimden aldım yapışma yok 😁,normal
5,Tencereler çok kaliteli sorunsuz geldi ama o kadar küçükler ki bu beni biraz üzdü. Eğer kalabalık aile iseniz kesinlikle daha büyüklerini alın. Ben anneciğime aldım iki kişiler zaten onlara yeter.,normal
2,Renk olarak çok soluk geldi özellikle lacivert olan yerleri.,normal
1,baskı bir yıkamada gitceği çok belli.Omuzlar çok geniş aşırı kilolu gösterdi ve garip bi koku var üstünde,normal
4,Ürün güzel ve hızlı geldi.Lacivert kısmı bir tık soluk fakat giyilmeyecek gibi değil.,normal
5,Gayet güzel biraz bol daha iyi kendi bedeninizi alın,normal
5,"yet güzel sadece düşük devirde dikkatli yıkanmalı 1.60 tam kalça hizasında kalıyor hem etek hem pantolonla nasıl durduğuna bakmak isterseniz Hesabımdan inceleyebilirsiniz, yazabilirsiniz.",normal
2,Ürünün omuz kısmı görselde göründüğü gibi değil bana kollari da kısa geldi ama kötü durmuyor pamuk olduğunu da düşünmüyorum kesinlikle,normal
5,cok begendım tam gıyıp cıkmalık harıka kombınler oluyor,normal
2,Dikiş yerleri çok belirgin ve renk tonu dikiş kısımlarıda açılmış. Kötü görünüyordu. Malesef yıkadıktan sonra fark ettiğim için iade edemedim.,normal
3,Ürün çok tatlı görünüyor ama maalesef rengi fotoğraflardaki gibi canlı değil. İnce bir kumaşı var,normal
3,yıkadıktan sonra rengi soldu ve küçüldü ama onun dışında güzel,normal
3,Ürün salaş bir kombinle hoş durur fakat benim üzerimde istediğim gibi durmadı,normal
5,çok güzel bi tık daha oversize alınırsa on no,normal
5,Kumaşı çok iyi ama kolları biraz kısa gibi oversize istiyorsanız bir iki beden büyük alabilirsiniz,normal
4,Gayet güzel beğendim özellikle trençkotlarla giyinebileyim yasa üstüne atabilirim diye aldım ,normal
5,ürün göründüğü gibi ve kumaşı da harika. tek sıkıntısı ben 165 54 kiloyum s aldım ve M daha iyi olurmuş gibi. ona göre alırsanız çok daha memnun kalırsınız.,normal
5,Tok bir kumaşı var üstte güzel duruyor,normal
5,çok güzel kumaşı biraz sert bir beden küçük almanızı öneriyorum ama salaş giyinmeyi seviyorsanız kendi bedenizi alın,normal
4,Sonbahar için çok uygun kaliteli de ,normal
2,kalçanızı bile kapatmıyo ve kumaşı muşamba gibiydi geri iade ettim,normal
5,Biraz sert bir kumaş ama iş görür,normal
5,Çokkk güzel geldi 57 kiloyum. M 38 beden aldım . Boyu çok uzun değil tam kararında kumaşı da çok kaliteli,normal
4,en küçük beden bile büyük xse olmalıydı onun dışında çok tatlı kullanılır bu sweat,normal
5,kalın değil ince'de değil çok iyi lalıbı,normal
5,Çok havalı duruyor ama evet yıkayınca biraz soluyor,normal
5,lacivert çizgilinin renkleri daha canlı..Ben evde giyiyorum fakat yerine göre dışarıda da giyilmeye engel değil,normal
3,Güzel ama tesettürlüler için kısa kalıyor ben makinaya attım rengi soldu a,normal
4,Kumaşı pamuklu değil biraz naylonumsu ama güzel onun dışında,normal
5,Ben çok beğendim owersize olsun diye L beden aldım tam istediğim gibi oldu 💖,normal
4,ürün gayet güzel ben beğendim kusursuz elime ulaştı ve hızlı teslimat ama rengi tam lacivert değil biraz antrasite bakıyor,normal
3,Kalıbı güzel fakat rengini daha canlı beklerdim,normal
5,Çok güzel bir ürün kaşta 24 saat sabit tutuyo fiyat performans harika,normal
5,Ürün çok güzel gün boyu o sabitleyici etkisini taşıyo ek olarak bi fırça daha gönderildi,normal
5,beğendim kaşları çok güzel sabitliyor. kaşlarda dökülme yapar mı bilmiyorum zaman gösterecek,normal
3,Aman aman bi sabitleme beklemeyin idare eder,normal
5,Bayıldım çok rahat çok güzel bedeninizi alın likralı 70 kilo L aldım süper oldu,normal
5,kalıbı duruşu harika. sadece boyu biraz uzun o da halledilir. ancak şuanki fiyatı 800₺ biraz düşürülebilir 🙏🏻 teşekkürler 🌷,normal
4,"çok güzel bir pantolon tam bel bedeninizi alın ben 1,73 boyunda 64 kiloyum l aldım",normal
5,Ürün güzeldi fiyatına göre ideal düzeydeydi sadece paçalar uzun Buda her yerde yaşayacağımız bir sorun zaten sıkıntı yok….buarada 4 mevsim tercih edilecek bir komaşı var bilginiz olsun,normal
2,Beli çok yüksek 36,normal
5,"yumuşacık, çok hoş ve düzgün duruyor, sadece fermuarı koptu benimkinin yaptırıp kullanmaya devam edeceğim, paçalarını kestirmiştim ben",normal
2,Duruşu vs çok iyi çok yakıştı ama inanılmaz kalitesiz daha ilk giyimde 2 tane ip kaçığı oldu. Anlamsız yerlerden sökülme tarzı çok üzüldük ya halbuki efsane hoşuma gitmişti duruşu,normal
4,Paketleme isare ederdi kuması falan güzeldi ama karın kırsmı hoş olmadı bende iade ettim maalesef😔,normal
5,Ürüne bayıldım gerçekten sadece bir tık büyük geldi gibi ama giyilir öylede çevremdekiler linkini istedi çok şık duruyor,normal
5,Aşırı rahat ve güzel gelir gelmez denedim ve harika oturdu rahat tam yazlık tam beden alabilirsiniz beli esnek,normal
2,"kesimi, duruşu güzel ama beli fazla dar. hepsinden öte paçalarını yaptırdıktan sonra kumaşta fotoğraftaki gibi çizgiler farkettim ama geri iade edemedim. üzücü...",normal
5,Çok güzel çok beğendim gerçekten tam oldu üstüme. 1.63 boy 53 kilo 36 beden tam oldu boyu da gayet iyi belime de tam oturdu esnek bir kumaşı var zaten bedenizini sarıyor.,normal
5,çok güzel göründüğü gibi kırışmaz kumaş likralı 165 boy 77 kiloya XL tam oldu,normal
5,169 boy 85 kilo 2xl aldim cok guzel kalın kumas yazın giyilmez ama tam olarak açıklamada yazan ürün geldi,normal
1,Ürün full polyester yapışıyor resmen bir beden büyük aldım ama görseldeki gibi salaş olmadı 👎🏻,normal
1,Ürünü 3xl istedim annem için bana bir geldi. Xs giyen bana oldu. Bu nasıl 3xl :),normal
5,Bu kadar rahat ve güzel olarak beklemiyordum çok güzel kumaşı işçilik çok beğendim,normal
3,"Kesimi çok güzeldi keşke istediğim kumaştan olsaydı tiftiklenmeyen kumaş ama değildi,",normal
5,Kalıbı bi tık dar bi beden büyük alınabilir ben öyle yaptım 🙏🏻 çok rahat güzel pantolon,normal
5,Rengi çok güzel görselde göründüğü gibi koyu gri. Hırka crop şeklinde bol durmasını istiyorsanız l/xl alabilirsiniz normalde s/m hırkalar bana oversize olur ama bu tam oldu. Kargo da çok hızlıydı memnun kaldım💗,normal
5,Bu kadar uygun fiyata daha iyi bir hırka olamaz. Beli biraz kısa alanlar onu bilerek alsın. Fiyatı mükemmel kendisi de öyle. Ben kızıma aldım çok beğendi ve çok yakıştı,normal
5,"yarası kollu,kolların arkası bir tık bol yani ama ben çok beğendim",normal
3,"Ürün fena değil ama tüylenecek gibi duruyor, baya crop bir parça. Üstelik ben aldıktan sonra tam 300 ₺ düşmüş olması pek hoş olmadı",normal
4,Çok kaliteli durmuyor fakat güzel uzun değil pantolon düğmesini kapatır gibi ancak,normal
5,Göründüğü gibi ve hızlı geldi. Çok sıcak tutuyor. Boyu crop yani kısa. 164 boy için göbek deliğine geliyor. Ben beğendim yüksek bel etek veya pantolonlarla giyilir,normal
2,"S/M istemiştim bana L/XL gönderilmiş, kargo poşetinin üzerine de yazılmasına rağmen böyle olmuş şimdi iade ile uğraşıcam, ürün güzel ama çok kötü kokuyor bu sebeplerden ötürü iade",normal
5,gerçekten yumuşacık bir dokusu var çok kaliteli duruyor bayıldım,normal
5,Biraz crop gibi ama çok beğendim kumaşı da yumuşak ve tatlı,normal
5,Her şeyle kombinleniyor yumuşacık çok güzel,normal
5,Bence çok iyi fiyatlı indirimdeyken aldım kalitesi mükemmel rengi birebir aynı 172 boyunda 68 kiloyum l/xl tam oldu biraz kolları bol ama güzel duruyor kapsül dolap parçası,normal
5,"Crop hırka gibi, uzun değil . Ama çok tatlı rengi ve kalitesi güzel",normal
5,173 boy 50 kg biri olarak s beden tam oldu. Kolları geniş bel kısmı dar. Kumaşı inanılmaz güzel,normal
4,Ben alırken M/L yoktu S/M aldım 171-64 kilo tam oldu ama M/L olsa daha iyi olurdu,normal
5,kizim okula kullanio yumusacaik,normal
5,İndirimden almıştım bunlardan kaliteli beklemiyordum çokta sıcak tutuyor severek giyiyorum,normal
5,Fotodakinden daha güzel geldi memnun kaldım ve sıcacık,normal
5,Bence muadil ürünle aynı yumuşacık kumaşı var ve baya kalıtelı duruyor . Tam beden alabılırsınız .,normal
5,"Koyu gri antrasit bi rengi var, xs/s üzerime tam oldu salaş ve uzun olsun isteyenler büyük beden alabilir",normal
4,yumuşacık sadece kolu yarasa kol gibi orasını sevemedim onun dışında günlük kullankm için yeterli,normal
5,tam bir Pinterest hırkası çok güzel yumuşacık çok beğdeceendim ben m/l beden aldım iyi ki öyle almisim,normal
3,Yani çok iyi diyemem bana gelen urun asiri tiftiklenmisti simdiden boyleyse kışın ust uste giydiğimde ne olur bilmiyorum ben indirimde aldim normal fiyatini asla hak etmiyor 600 tlye cok daha güzel hırkalar var kumasi da o kadar kaliteli değil,normal
2,rengi kalıbı boyu güzel ama çok hızlı tüylendi tiftiklendi markanın diğer ürünleri böyle değildi üzüldüm,normal
4,Ürünün tüyleri ve düğmeleri kalitesiz duruyor ama fiyatına göre normal,normal
5,Yumuşak ve kolları uzun bir hırka. Çok kalın değil. Beğendim. Uzun boylu arkadaşlar rahatlıkla alabilirsiniz,normal
5,"Gayet güzel sicak tutuyor, yıkadım herhangi bir cekme tuylenme olmadi",normal
4,Lacivert rengini almıştım bu da çok güzel fakat aynı beden almama rağmen bu daha büyük oldu,normal
3,Yumuşak bi kumaşı var. Tam oldu güzel. Ama rengi bana biraz daha koyu geldi fotoğraftakine göre. Sıcak tutar bence kumaşı ince değil kalın.,normal
3,yani dokusunu falan beğendim ama sadece biraz fazla salaş geldi bana böyle beklemiyordum,normal
5,Kaşındırmaz bir kumaşı var inşallah ağzı burnu yamulmaz şimdilik güzel duruyor. L aldım,normal
5,Çok çok güzel yumuşacık asla keçe gibi değil biraz kolları uzun geldi oda problem değil benim için rengi birebir aynısı geldi ben çok beğendim bir beden küçüğünü de alabilirmişim sadece,normal
5,"güzel beğendim ben, kaliteli. üzerime otursun derseniz SM alın ben öyle aldım",normal
5,Baya güzel çekerse diye bir beden büyük aldım,normal
5,"kış ve sonbahar için çok kullanışlı olur gayet yumuşak ve kaliteli, çok beğendim❤️",normal
5,pahalı markaların yarı fiyatı ve kalitesi belki de daha iyi bir tık kısa ama onun haricinde gayet güzel,normal
4,"güzel bir hırka umarım yıkandıkça tüylenmez ve formu bozulmaz. bir de tam düz değil, bel kısmından biraz daha dar ve oturuyor.",normal
4,kumaşı güzel yumuşacık. kış için aldım. sadece kolları bilekte kalıyo. kısa ama o kadar belli değil. birde kuyruk kısımları biraz yamuk,normal
5,Muhteşem bayıldım çok kaliteli ve şık ama ben 38 sipariş verdim ön parmaklarım sıkıştı. onu arkadaşıma hediye ettim kendime 39 sipariş verdim. umarım ayağımdan çıkmaz yürürken çok üzülürüm çünkü çok beğendim.,normal
4,ürün güzel sorunsuz geldi ama önü biraz parmaklarımı itti yorumlara güvenerek kendi numaramı istedim ama bence 1 numara büyük alınmalı benim tarzım da olmadığı için iade ediyorum,normal
4,"Boğaz kısmı gerçekten çok dar. Keratasız asla giyilmiyor. Ancak rahat, yumuşak ve sıcak tutuyor. Bir beden küçük aldım",normal
5,Ayak giriş kısmı hafif dar ama tam numara oluyor,normal
5,beğendim bilek kısmı biraz çıkarıp giyince sıkıyor ama onun dışında bi sorun yok al tabanı biraz sert gibi,normal
2,Ürün güzel aşırı sıcak tutuyor ayağı ama gün içinde giyilmez aşırı ayak yorar. Kendi numaramı aldım fakat arkadan ayağımdan çıkacak gibi duruyor.,normal
5,"Fiyatına rağmen ürün çok güzel sıcacık tutuyor , iç taban biraz sert fakat onada çözüm var. Teşekkürler",normal
4,tam numaranızı alın giyerken zor gibi oluyo ama ayak içinde tam kalıpta daha rahat beğendim güzel,normal
5,Görseldeki gibi geldi içi yumuşacık sıcacık tutuyor kalın çorapla giyilirse bir numara büyük tercih edilebilir,normal
4,ben normalde 36 giyiniyorum ama botta hep 37 alıyorum bunun kalıbı bana büyük geldi ama kaliteli iade etmicem çünkü kardeşime hediye ettim,normal
5,çok güzell içi yumuşacıkk🥨🧸ancak biraz tüylerden dolayı küçük belki bir büyük numarası daha iyi olabilir🤎,normal
5,Beğendim güzel normalde 37 giyiyorum keşke öyle alsaydım biraz bol oldu kalın çorapla kurtarmaya çalışacağım,normal
2,Ben normalde 39 giyiyorum ama 2 numara büyük geldi yani ayağımda durmuyordu,normal
5,Fotoğraftakinin aynısı 37 giyiyorum 37 aldım tam oldu Tek sorun giyerken zor giyiliyor Aşşşırı rahat bi ayakkabı,normal
2,ürünün tabanı çok ağır ayağım yerden zor kalkiyor fiyatına göre iyinin kötüsü,normal
5,bütün kış giydim ..fakat kaliplari büyük ona dikkat edin,normal
5,ilk giydigimde dar oldu fakat zmnla bolardi güzel,normal
3,"ben cok begendim, durusu, kalınlıgı vs cok guzeldi fakat giymeye basladigim ilk haftadan bol olmasına ragmen yanı acıldı. aynı zamanda normalde giydiğim numarayı aldım ama biraz buyuk geldi mecbur kalın coraplarla giymeye calisiyorum..",normal
4,"Bir numara küçük aldım ve tam istediğim gibi oldu, kaliteli duruyor tavsiye ederim",normal
2,Tabanı çok sert ve yapışkanları aşırı belli önermem iade,normal
5,ürün fotoyla aynı çok beğendim numarası tam giyilme yeri dar evet ama diğer turlude ayakdan çıkıyor gibi oluyor tavsiye ederim,normal
3,poşete konulup gönderilmiş ve ezilmiş hâliyle o yüzden puan kırdım kalitesine gelince idare eder kalıp olarakta 36 buçuk giyiyorum taraklı değildir ayağım 36 tam oldu,normal
4,fiyat performans ürünü sıcak tutuyor tabanı biraz sert ama bu fiyata iyi. 1 numara büyük aldım kalın çorap giyenilmek için ama giydikçe bollaştı sanki tam numaranızı alın.,normal
5,harıka sıcacık ancak bır numara buyuk tam numara olmasıan ragmen,normal
3,Ürün beklediğimden kaba duruyor bir öncesi sipariş 38 numaraydı küçük geldiği için geri iade ettim 39 aldım buda ayağımdan çıkacak gibi duruyor ve kaba geldi bana,normal
4,ürün güzel içi de tüylü sıcak tutuyor fakat dıştan zor oluyor ayağın içine girdiğindede büyük oluyor 1 puanı burdan kırıyorum ama fiyatına göre çok hoş giydikçede açıldı ayakabı f/p ürünü,normal
5,ürün ayağı sıcacık tutuyor iş yerinde ayaklarım usuyordu şimdi usumuyor giyerken biraz zor giyiliyor boğaz kısmı biraz dar gibi ama bence gayet guze bir ayakkabı tavsiye ederim,normal
3,Güzel ama ayaktan çıkıyor gibi oluyor 37 bile bana büyük geldi 38 de giyen biriyim,normal
5,Beklediğimden güzel geldi kumaşı çok güzel tam mevsimlik tam bedenimi aldım oldu işçilik de güzel,normal
5,Bel Kuşağını Göndermediler Tedarik Edileceğini Umuyorum Onun Dışınca uygun fiyat kaliteli Görünüm,normal
5,Gayet güzel ama mevsimlik ince rengi de açık bayağı,normal
4,Çoksel ürün kaliteli ama ince soğuk yerde yaşıyorsanız almayın,normal
5,giydiğim bedeni sipariş etmiştim beden tam oldu L kumaşı kalitesi dikişi vücuttaki duruşu gerçekten çok güzel Kemer uzunluğu da çok mükemmel bej renk olarak tek renk vardı onu sipariş ettim maalesef ki bej renginin tonu farklı tondu bana hiç yakışmadı giyebileceğim bir tondan çok uzaktı üzülerek iade etmek zorunda kaldım.,normal
5,indirimdeyken aldım kumaşı yok gibi rengide çok güzel hemen utuleniyor,normal
3,"Kumaşı ince ve yumuşak,keten gibi değil.Rengide sarı .",normal
4,Yazlık kumaş evet güzel duruyo fakat rengi gerçekten sarı gibi alırken bunu göz önünde bulundurun,normal
4,Kumaşı hemen buruşuyor ve çok ince ama fiyatına göre çok iyi bi ürün tam bi fiyat performans ürünü,normal
5,Rengi göründüğü gibi geldi ince ve tam mevsimlik bende böyle bir şey istiyordum zaten beklentimi karşıladı,normal
5,İnce ama bahar aylarında mevsim geçişlerinde çok rahat kullanılabilir.,normal
5,Yumuşacık dokusu var çok beğendim. Normalde S giyerim ama M aldım içine kalın giydiğimde dar olmasın diye. ama belindeki kuşak sayesinde bol bile gelse hiç sezilmiyor (kuşakla kullanmayı daha çok tercih ettiğim için hiçbir problem olmadı) ilk defa uzun trençkot aldım iyi ki de almışımmm niye bu zamana kadar bu tarzı denemedim dedim hatta,normal
5,Süet gbi bi dokusu var çok şık duruyor,normal
3,Aslında güzel bir ürün fakat ben hem rengini pek beğenemedim hem de ebat olarak küçük geldi,normal
4,kumaşı yumuşak tam yazlik fakat düğme ile delikleri orantısız dikilmiş o yüzden bir yıldız eksik verdim çok uzundu kestirdim,normal
3,Yani çanta idare eder o kadar küçükde değil orta boyu var tavsiye etmem ama daha güzel çantalarda var,normal
5,"ürün güzel kaliteli ama bir tık buyuk, içine çok eşya koyacaklar için uygun",normal
5,"müthiş kullanışlı bir çanta. şık da spor da kullanılabilir. benim için en büyük artısı kitaplarımı taşıyor olması, gerçekten kaliteli. f/p ürün",normal
3,yani canta iyi sadece omuz askisi cok uzun,normal
5,çok iyi 1 aydır sadece bunu kullandım 3ğ gün üst üste hâlâ ilk günki gibi üstelik birsürü kitap koyuyorum,normal
4,Ürünün kalitesine diyecek lafım yok ama kapama tarafı fermuar değil çıtçıtlı o yüzden iade ettim,normal
4,fermuarlı olsa daha iyi,normal
4,aşırı bir büyüklüğü yok orta kalite ürün,normal
3,Sapı sağlam gözükmüyor içine kitap veya tablet sığmıyor.,normal
5,"Aldığımdan beri kullanıyorum, okulda özellikle çok işime yaradı. İçi kocaman ve baya ağır taşımama rağmen ne yırtılma ne de başka bir şey oldu. Tek eksik astarı olmaması ve çıtçıtlı oluşu. Fermuarlı olsaydı harika olurdu. aynı yorumu kahverengine yaptım ama ciddi manada alıp en çok kullandığım ve 1 sene boyunca yaz kış üstümden çıkarmadığı tek çanta oldu.",normal
5,Fotograftakinin aynısı güzel boyut olarak da ama aşırı bi deri kokusu var umarım geçer,normal
3,"Büyüklüğü, dokusu çok güzel fakat iç kısmının kırmızı olması biraz memnuniyetsizlik verdi bana. Onun haricinde sıkıntı yok kullanıyorum",normal
5,"Çanta görseldeki gibi, gayet kullanışlı ve iç hacmi geniş. Dışı yumuşak, hafif koku var ama zamanla geçiyor. İç hacmi geniş bir çanta düşünenlere öneririm.",normal
4,Çanta ilk geldiğinde yoğun bı kokusu vardı ama birkaç günde geçti. Boyutu gayet ideal herşeyi alıyor ama içinde küçük bı bölme olsa iyi olurdu,normal
5,uygun bir fiyata almıştım fiyat performans diyebiliriz neredeyse her kombine uyuyor beğendim,normal
4,Ürünü ben acayip beğendim tam istediğim gibi çıktı dokusu vs çok güzel görselin aynısı içi zaten aşırı büyük bi kitap boyutu da gayet geniş üniversite öğrencileri için hem uygun fiyatlı hem de kullanışlı ben işe giderken kullanıyorum her şeyim sığıyor gayet iyi,normal
5,İlk defa büyük çanta kullandım çok büyük gelir düşündüm ama o kadar güzel geldi ki tam ideal boyda yani. Derisi yumuşacık Katlansa dahi iz bırakmıyor. iç genişliği de çok iyi birden fazla eşya konulabilir ama ayrı bölmeleri içerisinde yok. uzunluk ayarlamasında isterseniz postacı çantası gibi de takılabilir,normal
3,açıkçası çok iyi diyemem. fiyatına göre biraz basit geldi kumaşı ve dikişleri. çok büyük değil bu arada ben daha geniş olur diye düşündüm. kütüphaneye giderken kullanmak için Aldım ama kitaplar dışında su şişesi bile sığmadı ve kolay kopacak gibi duruyor. iade ile uğraşmak istemediğim için kalacak,normal
4,Çok beğendim çok şık ve çok rahat sadece çok boya veriyor onun dışında bir sorunu yok,normal
4,Çok beğendim biraz uzun geldi sadece,normal
5,BA YIL DIM coook tatlı L aldım tam oldu🥰 tesettür için arkası tam kapanmıyor o yüzden hafif uzun bir gömlek ile iş çözüldü😋💕💓 ayyy severek giyiyorum,normal
3,1.60 55 kg pant aşırı bol oldu ve pantalonun etiketini keserek yollamışlar büyük ihtimalle başka bi markadan pant ceket güzel o da bol oldu ama beğendim,normal
5,Tek kelimeyle bayıldım S bedenini aldım ama ben minyon olduğum için paça yaptırdım sadece bol giyinmeyi seven kızlar için gayette güzel bir ürün tavsiye ederim,normal
3,alt dar üst tam oldu alt üst bedeni ayrı seçememek kötü ama çok güzel bi takım oldugu icin o şekilde giyiyorum iade etmedim,normal
5,anneme aldık tesettürlü kendisi zayıf ve boyu kısa olduğu için totosu dikkat çekmedi ama 160 üstü tesettürlü kişilere uymaz bebeklerim totoyu belli eder. Ama takım mükemmel biraz kollarını ve pacasini anneme göre kestirdik çok güzel oldu,normal
4,Bir beden büyük geldi en küçüğünü almama rağmen geniş kalıp yani ama çok güzel ve şık tok bir kumaşı var,normal
4,Duruşu falan çok güzel ama pantolon bol geliyor hemde s beden almama rağmen l bedenmiş gibi ufak tefek terzi işiyle hallolur ama bunu bilerek alın. Paça boyu da çok uzun,normal
4,"Gayet güzel bir takım olmuş boyum 173, kilom 65 L beden aldım. Ayrıca yıkarken rengi akıyor ona göre diğer çamaşırlarla atın. Bide beyaz olarak temas eden çanta veya body vs ürünleri mavilik bırakıyor ama bu fiyata değer ayrı ayrı da kombinlenebilir.",normal
5,Kızlar bayıldım 158 boyım var 56kiloyum m beden aldım pantolon bi tık sıktı ama üst çok iyi olduuu öneririim,normal
4,s aldım ama pantolonu uzun geldi belimdende düşüyor terzilik işi var bide bana pantolonu gorseldeki gibi aynısı gelmedi gözüme ama kurtarıcı takım takım,normal
3,"Tamam ürün iyi güzel ama hiçbir etiketi yok kullanılıp mı gönderildi bilmiyorum. Ayrıca fermuarı bozuk, gönderirken hiç dikkat edilmemiş. 1.62 78 kg L oldu",normal
4,Kumaş ve kalite olarak çok güzel fakat 57 kilo 160 boyundaki arkadışıma M bedeninde Pantolon çok güzel oturdu ama Üst için çok büyük geldi sanki L beden gibiydi. Açıkçası orantısızlık yüzünden pantolonu seve seve iade etmek zorunda kaldım.,normal
4,güzeldi ama sadece 1 düğme kısmı kopuk geldi çok açılmadığı için idare ettim 170 boyum var biraz üst kısa oldu bir de basen veya kalçanız buyukse 1 beden büyük almanızı tavsiye ederim cunku tam oturuyor,normal
5,Gayet tok ve kaliteli bir kot. Yıkamadan giymek durumunda kaldım rengi akar mı bilmiyorum. Ben xs-s arasıyım aldığımı çok rahat m de giyer.,normal
5,Cok güzell geldiiiii bugün ulastı elime bayıldımm sadece pantolonu cok bol 47 kiloyum S beden bol geldi ama terzide halledilir duruşu süper,normal
3,169 boyunda 68 kiloyum L beden aldım biraz bol dursun diye takımın üstü ve paçaları bol oldu ama göbek kısmı tar o kadar kalın bacaklı ve göbekli bir fiziğe sahip değilim yapısal olarak kastırıyor ama ceketi çok sevdim taytların üzerine falan giyiyorum çok güzel oluyor,normal
3,Görüntüsü aynı fotoğraftaki gibi güzel ve şık. Bedeni biraz sıkıntılı bence. Bel kısmı inanılmaz sıkıyor ama geri kalanı tam oldu. 38/ M beden alsam bol gelcekti ama S de sıktı yani,normal
5,1.64 boy 56 kiloyum S beden aldım bir tık bol oldu beli. Ama harika tam kalıp bir takım kendi bedeninizi gönül rahatlığıyla alabilirsiniz. Aşırı cool duruyor bayıldım🫶🏻 2 gün içinde elime ulaştı.,normal
4,Ürün harika ama boya veriyor bir puanı oradan kırdım üstte duruşu muazzam,normal
4,Gerçekten çok güzel kumaşıda çok iyi ama sadece pantolonun boyu çok uzun boyum 162 olmasına rağmen çok uzun geldi onun dışında hiçbir sorunu yok bence alınmalı,normal
5,Çok güzel takım ama çok renk veriyor,normal
3,"aslında çok güzel bir takım 1.73, 65kg normalde m bedeni giyen birisi olarak üstü çok bol altı çok dar geldi, L alsam üstü aşırı bol olacak",normal
4,ust kesim iyi bol ama alti sanki biraz dar gibi ustelik tesetturlu biri olarak tam kalcada yani rahatsiz olabileceginiz bir sekilde ust boyu. Cok fazla boyasi akiyo makineye atmama ragmen hala renk veriyor fiyati diğer markalara gore uygun oldugunicin aldim,normal
3,Ya ben giydim fakat 163 65 kiloyum L aldım çok küt ve kaba durdu bende bence ince uzun kızlara daha hoş duruyor.,normal
3,"Aslında model güzel ama kısaysanız çokta şık durmuyor, ürün çok fazla boya atıyo ve kalıbı büyük tam beden tercih ettim ama pantolon çok pot durdu üstü de kemeri bağlayınca çok toplandı rahat olmadı alıcaksanız 1 beden küçük alın, kargo çok yavaştı (160boy 57kilo m beden) iade",normal
5,Ürün çok güzel görseldeki gibi elime ulaştı kumaşı kaliteli bazı görsellerde beli lastikli gelmiş pantolonun ama bende gayet pantolon olarak geldi çok sevdim🥰,normal
5,"kalitesi herseyi çok güzel, 40 beden aldim normalde 40 olur ama kalibi dar pantolonun beli dar daha doğrusu, ceketi de bol asiri",normal
2,"Rahat yumuşak ama çok kalitesiz. Giydiğim 2.gün pamuklandı.. Diz yaptı, genişledi. Yıkandıktan sonrasını düşünemiyorum.",normal
5,Kumaşı iyi ev giyim olduğu için olağanüstü bir kalite beklemiyordum zaten memnunum genel olarak,normal
5,Güzel beğendim 83 kiloyum 4XL aldım hamile olduğum için gayet güzel,normal
4,Tam bedeninizi alın ama kumaşı öyle tiril tiril değil biraz sert bir kumaş daha pamuklu olmasını beklerdm ama yinede iyi fiyat performans,normal
2,kumaşını pek beğenemedim pijama altının ağ kısmı çok kötü duruyor,normal
3,"Giymeden önce sudan geçireyim dedim, azıcık siyah deterjanı ile bile rengi gitti. Kalıbı, paça boyu normal, kalite orta",normal
5,ürünün dokusu ve yumuşaklığı çok güzel dezavantajı düşük dozda yıkadığım halde pürtüklenme olması,normal
5,bunu çok beğendim hatta 1 beden küçük alınabilir likrasi fazla kalıbı güzel şuan yıkanıyor umarım çekme solma olmaz teşekkürler,normal
5,ürün çok kalite ve kumaşı çok güzel 56 kilo 28 beden aldım tam oldu,normal
4,çok iyi ama gün içinde bir tık bollaşıyor fakat rahatsız edici değil,normal
4,Kizlar fiyata gore frna degil bolarma yapuyo 170 boy 65 kili 29 beden oldu bb,normal
4,"kargo inanılmaz hızlı bir günde geldi. pantolon da tam olarak fp hatta daha fazlası bu fiyata, 165 boy 63-64 kg 30 beden tam oldu. Tam beden alınmalı",normal
4,Ürünü çok beğendim olduğunuz bedenden 1 beden daha küçük alınabilir,normal
5,Kalıbı tam kalıp giydikçe birazda olsa açılıyor ama kalıp tam bedeninize göre duruşu güzel,normal
5,Pantolon tek kelimeyle mükemmel boyuda uzun değil ben kısa olmama rağmen bana tam oldu sadece çok yüksek bel değil fotoğraftaki ile aynı geliyor hatta daha güzel,normal
4,Çok bayıldım aşır güzel kapı renk fakat şuan istediğim kiloda değilim o yüzden 51 im 55 olunca biraz dar olur gibi 28 sipariş ediceğim ama bayıldım,normal
2,Kalıp çok dar 75 kilo m aldık aşırı dar önü hiç kapanmadı xl alsak anca olur okadar kumasıda çok basit naylon,normal
4,Ürün gayet güzel kumaşı da kendisi de kardeşim için aldım 172 boy kilo 65 S küçük geldi gönderdik M aldık ne dar ne geniş duruyor gayet iyi şık ve günlük her alanda kullanılabilir,normal
5,"Kumaşından anladığım kadarıyla gerçekten kolay ütülenen bir ürün , yumuşak bir kumaş , tam oturuyor vücuda 🌺",normal
